Chocolate Covered Strawberries,"Everyone loves chocolate-covered fruit, right? Make your own chocolate-covered strawberries simply and quickly with this recipe.",0.0,0,true,/path/
Strawberry Spinach Salad I,This spinach and strawberry salad is topped with a fabulous homemade poppy seed dressing.,0.0,0,false,/path/
Split Pea Soup,"This is a hearty split pea soup has a flavorful ham bone cooked with carrots, potatoes, onions, and a pinch of marjoram.",0.0,0,false,/path/
Spaghetti Aglio e Olio,"Spaghetti Aglio e Olio is a simple Italian dish of garlic, olive oil, parsley, and Parmigiano-Reggiano cheese tossed with cooked pasta.",0.0,0,false,/path/
Beef Bulgogi,"Marinate beef steaks in this a sweet sauce of soy, sugar, garlic, and sesame and grill. Roll up in red leaf lettuce with rice and hot pepper paste for a real Korean-style treat.",4.0,0,false,/path/
French Onion Soup Gratinee,"About as good as it gets! This is the version of French Onion Soup that people seek when they go to restaurants. I have been making it for 30 years and it never fails to please. It makes an exquisite presentation, too!",4.0,0,false,/path/
Lamb Chops with Balsamic Reduction,"This recipe for lamb chops is a favorite in my house.  It is an easy and quick recipe for two people (we eat two chops each). Rosemary and thyme give it great flavor.  If you double the recipe, remember that the sauce will take longer to reduce.",0.0,0,false,/path/
Double Tomato Bruschetta,"Bruschetta is a traditional Italian item in which small slices of bread are topped with such things as tomato, basil, and mozzarella cheese, as is the case in this delightful recipe.",4.0,0,false,/path/
Ultimate Twice Baked Potatoes,"Take baked potatoes to the ultimate level of creamy, cheesy, buttery goodness. Then top with bacon. Mmm bacon!",4.7,0,false,/path/
Fluffy Pancakes,"Tall, fluffy pancakes make the best breakfast, especially when there's plenty of butter and syrup. Make it extra special with berries and whipped cream!",4.8,0,false,/recipe/162760/fluffy-pancakes/
Spicy Thai Basil Chicken (Pad Krapow Gai),"Chef John's version of this classic Thai dish, made with freshly chopped chicken thighs and fresh basil, has a rich sauce that cooks down into a caramelized glaze.",4.8,15,false,/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/
Jan's Peppered Pork Chops With Mushrooms and Herb Sherry Sauce,Pork chops with lots of fresh herbs and mushrooms in a sherry sauce are served with Idahoan Signature™ Russets Mashed Potatoes.,4.9,10,false,/recipe/255427/jans-peppered-pork-chops-with-mushrooms-and-herb-sherry-sauce/
Panang Curry with Chicken,"Panang curry paste, coconut milk, and chicken breast are the base of this simple Thai curry dish.",4.7,15,false,/recipe/213947/panang-curry-with-chicken/
